Trainer Name,Date,Timing,Grade,Batch,Topics
FAC_5001,16 April Thursday,11.15 am - 12 noon,"Grade 1,2",trial I,Rocking with rhymes
FAC_5002,16 April Thursday,11.15 am - 12 noon,"Grade 3,4 ",trial I,In my mind's eye
FAC_5003,16 April Thursday,11.15 am - 12 noon,"Grade 1,2",trial II,Word Whiz
FAC_5006,16 April Thursday,11.15 am - 12 noon,"Grade 3,4 ",trial II,Rocking with rhymes
FAC_5007,16 April Thursday,4:00-4:45 pm,"Grade 3,4 ",trial I,In my head or real
FAC_5008,16 April Thursday,4:00-4:45 pm,"Grade 3,4 ",trial II,storm in my brain
FAC_5009,16 April Thursday,4:00-4:45 pm,"Grade 1,2",trial I,word whiz
FAC_5011,16 April Thursday,4:00-4:45 pm,"Grade 1,2",trial II,Rocking with rhymes
FAC_5012,16 April Thursday,6:15 - 7:00 pm,"Grade 1,2",trial I,Name it 
FAC_5013,16 April Thursday,6:15 - 7:00 pm,"Grade 1,2",trial II,Meet the magic 'e'
FAC_5014,16 April Thursday,6:15 - 7:00 pm,"Grade 3,4 ",trial I,Storm in my brain
FAC_5009,16 April Thursday,6:15 - 7:00 pm,"Grade 1,2",trial III,Name it 
FAC_5015,16 April Thursday,6:15 - 7:00 pm,"Grade 3,4 ",trial II,In my head or real
FAC_5002,16 April Thursday,6:15 - 7:00 pm,"Grade 3,4 ",trial III,Sum it up 
FAC_5016,17 April Friday,11.15 am - 12 noon,"Grade 1,2",trial I,In my mind's eye
FAC_5006,17 April Friday,11.15 am - 12 noon,"Grade 3,4 ",trial I,Name it
FAC_5017,17 April Friday,11.15 am - 12 noon,"Grade 1,2",trial II,Word Whiz
CANCELLED,17 April Friday,11.15 am - 12 noon,"Grade 3,4 ",trial II,Storm in my brain
FAC_5015,17 April Friday,4:00-4:45 pm,"Grade 3,4 ",trial I,In my head or real
FAC_5008,17 April Friday,4:00-4:45 pm,"Grade 3,4 ",trial II,Sum it up
FAC_5019,17 April Friday,4:00-4:45 pm,"Grade 1,2",trial I,In my mind's eye
FAC_5002,17 April Friday,4:00-4:45 pm,"Grade 1,2",trial II,Meet the magic 'e'
FAC_5020,17 April Friday,6:15 - 7:00 pm,"Grade 1,2",trial I,Category Spin
FAC_5012,17 April Friday,6:15 - 7:00 pm,"Grade 1,2",trial II,Name it
FAC_5014,17 April Friday,6:15 - 7:00 pm,"Grade 3,4 ",trial I,In my head or real?
FAC_5009,17 April Friday,6:15 - 7:00 pm,"Grade 1,2",trial III,Structure of a story
FAC_5015,17 April Friday,6:15 - 7:00 pm,"Grade 3,4 ",trial II,In my head or real?
FAC_5002,17 April Friday,6:15 - 7:00 pm,"Grade 3,4 ",trial III,Storm in my brain
#N/A,18 April Saturday,11.15 am - 12 noon,"Grade 1,2",trial I,Word Whiz
FAC_5021,18 April Saturday,11.15 am - 12 noon,"Grade 3,4 ",trial I,Storm in my brain
FAC_5017,18 April Saturday,11.15 am - 12 noon,"Grade 1,2",trial II,Word Whiz
FAC_5004,18 April Saturday,11.15 am - 12 noon,"Grade 1,2",trial III,Name it
FAC_5003,18 April Saturday,11.15 am - 12 noon,"Grade 3,4 ",trial II,Category Spin
FAC_5008,18 April Saturday,11.15 am - 12 noon,"Grade 3,4 ",trial III,Sum it up
FAC_5002,18 April Saturday,4:00-4:45 pm,"Grade 3,4 ",trial I,Spelling Star
FAC_5022,18 April Saturday,4:00-4:45 pm,"Grade 3,4 ",trial II,Play with Punctuation
FAC_5015,18 April Saturday,4:00-4:45 pm,"Grade 1,2",trial I,Structure of a story
FAC_5004,18 April Saturday,4:00-4:45 pm,"Grade 1,2",trial II,Word Whiz
FAC_5023,18 April Saturday,4:00-4:45 pm,"Grade 3,4 ",trial III,Related words / Category Spin
FAC_5009,18 April Saturday,4:00-4:45 pm,"Grade 1,2",trial III,Sum it up
FAC_5024,18 April Saturday,6:15 - 7:00 pm,"Grade 1,2",trial I,Word Whiz
FAC_5012,18 April Saturday,6:15 - 7:00 pm,"Grade 1,2",trial II,Name it
FAC_5014,18 April Saturday,6:15 - 7:00 pm,"Grade 3,4 ",trial I,Storm in my brain
FAC_5009,18 April Saturday,6:15 - 7:00 pm,"Grade 1,2",trial III,Rocking with rhymes
